hs_code,description,import_duty,
0101.21.00,"Live horses, asses, mules and hinnies - Horses - Pure-bred breeding animals","0,00%",
0101.29.00,LIVE ANIMALS Other -Horses,"5,00%",
0101.30.10,"Live horses, asses, mules and hinnies - Asses - Pure-bred breeding animals","0,00%",
0101.30.90,LIVE ANIMALS Other -Asses,"5,00%",
0101.90.00,LIVE ANIMALS Other,"5,00%",
0102.21.00,Live bovine animals - Cattle - Pure-bred breeding animals,"0,00%",
0102.29.11,Live bovine animals - Cattle - Other - Male cattle - Oxen,"0,00%",
0102.29.19,LIVE ANIMALS Other -Male cattle,"5,00%",
0102.29.90,LIVE ANIMALS Other,"5,00%",
0102.31.00,Live bovine animals - Buffalo - Pure-bred breeding animals,"0,00%",
0102.39.00,LIVE ANIMALS Other -Buffalo,"5,00%",
0102.90.10,Live bovine animals - Other - Pure-bred breeding animals,"0,00%",
0102.90.90,LIVE ANIMALS Other,"5,00%",
0103.10.00,Live swine - Pure-bred breeding animals,"0,00%",
0103.91.00,Live swine - Other - Weighing less than 50 kg,"5,00%",
0103.92.00,Live swine - Other - Weighing 50 kg or more,"5,00%",
0104.10.10,Live sheep and goats - Sheep - Pure-bred breeding animals,"0,00%",
0104.10.90,LIVE ANIMALS Other -Sheep,"5,00%",
0104.20.10,Live sheep and goats - Goats - Pure-bred breeding animals,"0,00%",
0104.20.90,LIVE ANIMALS Other -Goats,"5,00%",
0105.11.10,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls - Weighing not more than 185 g - Fowls of the species Gallus domesticus - Breeding fowls","0,00%",
0105.11.90,LIVE ANIMALS Other,"5,00%",
0105.12.10,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls - Weighing not more than 185 g -Turkeys - Breeding turkeys","0,00%",
0105.12.90,LIVE ANIMALS Other,"5,00%",
0105.13.10,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls - Weighing not more than 185 g - Ducks - Breeding ducklings","0,00%",
0105.13.90,LIVE ANIMALS Other,"5,00%",
0105.14.10,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls - Weighing not more than 185 g - Geese - Breeding goslings","0,00%",
0105.14.90,LIVE ANIMALS Other,"5,00%",
0105.15.10,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls - Weighing not more than 185 g - Guinea fowls - Breeding guinea fowls","5,00%",
0105.15.90,LIVE ANIMALS Other,"5,00%",
0105.94.10,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls - Other - Fowls of the species Gallus domesticus - Breeding fowls, other than fighting cocks","0,00%",
0105.94.41,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls - Other - Fowls of the species Gallus domesticus - Fighting cocks - Weighing not more than 2 kg","5,00%",
0105.94.49,LIVE ANIMALS Other -Fighting cocks,"5,00%",
0105.94.91,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls - Other - Fowls of the species Gallus domesticus - Other - Weighing not more than 2 kg","5,00%",
0105.94.99,LIVE ANIMALS Other,"5,00%",
0105.99.10,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls - Other - Other - Breeding ducks","0,00%",
0105.99.20,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls - Other - Other - Other ducks","5,00%",
0105.99.30,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls - Other - Other - Breeding geese, turkeys and guinea fowls","0,00%",
0105.99.40,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls - Other - Other - Other geese, turkeys and guinea fowls","5,00%",
0106.11.00,Other live animals - Mammals - Primates,"5,00%",
0106.12.10,"Other live animals - Mammals - Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia) - Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia)","5,00%",
0106.12.20,"Other live animals - Mammals - Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia) - Seals, sea lions and walruses (mammals of the suborder Pinnipedia)","5,00%",
0106.13.00,Other live animals - Mammals - Camels and other camelids (Camelidae),"5,00%",
0106.14.00,Other live animals - Mammals - Rabbits and hares,"5,00%",
0106.19.00,LIVE ANIMALS Other,"5,00%",
0106.20.00,Other live animals - Reptiles (including snakes and turtles),"5,00%",
0106.31.00,Other live animals - Birds - Birds of prey,"5,00%",
0106.32.00,"Other live animals - Birds - Psittaciformes (including parrots, parakeets, macaws and cockatoos)","5,00%",
0106.33.00,Other live animals - Birds - Ostriches; emus (Dromaius novaehollandiae),"5,00%",
0106.39.00,LIVE ANIMALS Other,"5,00%",
0106.41.00,Other live animals - Insects - Bees,"5,00%",
0106.49.00,LIVE ANIMALS Other,"5,00%",
0106.90.00,LIVE ANIMALS Other,"5,00%",
0201.10.00,"Meat ofbovine animals, fresh or chilled - Carcasses and half-carcasses","5,00%",
0201.20.00,"Meat ofbovine animals, fresh or chilled - Other cuts with bone in","5,00%",
0201.30.00,"Meat ofbovine animals, fresh or chilled - Boneless","5,00%",
0202.10.00,"Meat of bovine animals, frozen - Carcasses and half-carcasses","5,00%",
0202.20.00,"Meat of bovine animals, frozen - Other cuts with bone in","5,00%",
0202.30.00,"Meat of bovine animals, frozen - Boneless","5,00%",
0203.11.00,"Meat of swine, fresh, chilled or frozen - Fresh or chilled - Carcasses and half-carcasses","5,00%",
0203.12.00,"Meat of swine, fresh, chilled or frozen - Fresh or chilled - Hams, shoulders and cuts thereof, with bone in","5,00%",
0203.19.00,MEAT & EDIBLE OFFAL Other,"5,00%",
0203.21.00,"Meat of swine, fresh, chilled or frozen - Frozen - Carcasses and half-carcasses","5,00%",
0203.22.00,"Meat of swine, fresh, chilled or frozen - Frozen - Hams, shoulders and cuts thereof, with bone in","5,00%",
0203.29.00,MEAT & EDIBLE OFFAL Other,"5,00%",
0204.10.00,"Meat of sheep or goats, fresh, chilled or frozen - Carcasses and half-carcasses of lamb, fresh or chilled","5,00%",
0204.21.00,"Meat of sheep or goats, fresh, chilled or frozen - Other meat of sheep, fresh or chilled - Carcasses and half-carcasses","5,00%",
0204.22.00,"Meat of sheep or goats, fresh, chilled or frozen - Other meat of sheep, fresh or chilled - Other cuts with bone in","5,00%",
0204.23.00,"Meat of sheep or goats, fresh, chilled or frozen - Other meat of sheep, fresh or chilled - Boneless","5,00%",
0204.30.00,"Meat of sheep or goats, fresh, chilled or frozen - Carcasses and half-carcasses of lamb, frozen","5,00%",
0204.41.00,"Meat of sheep or goats, fresh, chilled or frozen - Other meat of sheep, frozen - Carcasses and half-carcasses","5,00%",
0204.42.00,"Meat of sheep or goats, fresh, chilled or frozen - Other meat of sheep, frozen - Other cuts with bone in","5,00%",
0204.43.00,"Meat of sheep or goats, fresh, chilled or frozen - Other meat of sheep, frozen - Boneless","5,00%",
0204.50.00,Meat of goats,"5,00%",
0205.00.00,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen","5,00%",
0206.10.00,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen - Of bovine animals, fresh or chilled","5,00%",
0206.21.00,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen - Of bovine animals, frozen - Tongues","5,00%",
0206.22.00,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen - Of bovine animals, frozen - Livers","5,00%",
0206.29.00,MEAT & EDIBLE OFFAL Other,"5,00%",
0206.30.00,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen - Of swine, fresh or chilled","5,00%",
0206.41.00,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen - Of swine, frozen - Livers","5,00%",
0206.49.00,MEAT & EDIBLE OFFAL Other,"5,00%",
0206.80.00,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen - Other, fresh or chilled","5,00%",
0206.90.00,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen - Other, frozen","5,00%",
0207.11.00,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen - Of fowls of the species Gallus domesticus - Not cut in pieces, fresh or chilled","5,00%",
0207.12.00,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen - Of fowls of the species Gallus domesticus - Not cut in pieces, frozen","5,00%",
0207.13.00,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen - Of fowls of the species Gallus domesticus - Cuts and offal, fresh or chilled","5,00%",
0207.14.10,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen - Of fowls of the species Gallus domesticus - Cuts and offal, frozen - Wings","5,00%",
